iter	Passed	Remaining
0	200	200259
1	204	102266
2	208	69294
3	213	53230
4	218	43456
5	226	37537
6	231	32890
7	235	29237
8	239	26403
9	245	24279
10	248	22380
11	252	20779
12	256	19457
13	259	18287
14	262	17269
15	266	16382
16	270	15624
17	273	14939
18	277	14314
19	280	13754
20	284	13264
21	287	12800
22	291	12377
23	294	11990
24	298	11654
25	302	11323
26	305	11023
27	309	10740
28	313	10497
29	316	10247
30	320	10013
31	323	9795
32	327	9600
33	331	9408
34	334	9226
35	338	9058
36	343	8932
37	347	8784
38	350	8640
39	354	8514
40	358	8388
41	362	8272
42	366	8167
43	371	8061
44	374	7948
45	377	7836
46	382	7755
47	386	7665
48	390	7574
49	393	7484
50	398	7416
51	402	7331
52	405	7249
53	410	7182
54	413	7101
55	416	7027
56	419	6935
57	422	6866
58	426	6802
59	429	6735
60	433	6673
61	437	6613
62	441	6561
63	444	6503
64	447	6430
65	450	6379
66	455	6336
67	459	6293
68	462	6242
69	466	6201
70	470	6156
71	474	6111
72	477	6064
73	481	6021
74	484	5978
75	488	5937
76	492	5899
77	496	5862
78	498	5808
79	501	5772
80	505	5735
81	508	5697
82	512	5667
83	516	5635
84	520	5599
85	523	5564
86	526	5526
87	530	5495
88	533	5463
89	537	5432
90	541	5406
91	544	5377
92	548	5348
93	551	5319
94	555	5293
95	559	5268
96	562	5240
97	566	5214
98	570	5190
99	573	5165
100	577	5144
101	581	5119
102	585	5096
103	588	5072
104	591	5040
105	594	5015
106	598	4995
107	601	4970
108	605	4949
109	608	4926
110	612	4907
111	616	4886
112	620	4867
113	623	4845
114	626	4824
115	630	4803
116	633	4784
117	637	4764
118	640	4744
119	644	4727
120	648	4710
121	651	4691
122	655	4673
123	658	4654
124	662	4639
125	666	4621
126	669	4605
127	673	4589
128	677	4573
129	680	4556
130	684	4539
131	688	4526
132	691	4510
133	695	4494
134	698	4477
135	702	4461
136	705	4445
137	709	4432
138	713	4416
139	716	4403
140	720	4388
141	724	4376
142	728	4363
143	732	4353
144	736	4341
145	739	4327
146	743	4314
147	747	4300
148	751	4289
149	754	4277
150	759	4268
151	762	4256
152	767	4246
153	770	4234
154	775	4226
155	779	4215
156	783	4205
157	787	4194
158	790	4183
159	794	4172
160	798	4162
161	802	4152
162	806	4140
163	810	4129
164	813	4119
165	820	4120
166	824	4112
167	828	4101
168	832	4091
169	835	4080
170	839	4070
171	843	4061
172	847	4052
173	851	4043
174	855	4033
175	859	4022
176	862	4012
177	866	4000
178	870	3992
179	874	3983
180	878	3972
181	881	3963
182	886	3958
183	891	3954
184	895	3944
185	899	3936
186	903	3927
187	907	3919
188	911	3912
189	916	3906
190	920	3896
191	923	3887
192	927	3878
193	931	3869
194	935	3860
195	938	3851
196	942	3840
197	946	3832
198	950	3824
199	953	3815
200	958	3808
201	962	3802
202	966	3793
203	969	3784
204	974	3777
205	978	3770
206	981	3761
207	985	3752
208	989	3745
209	993	3738
210	1068	3996
211	1076	3999
212	1086	4015
213	1092	4012
214	1101	4022
215	1107	4019
216	1113	4016
217	1117	4007
218	1121	3998
219	1126	3993
220	1130	3985
221	1157	4057
222	1163	4055
223	1173	4066
224	1187	4089
225	1195	4092
226	1247	4249
227	1263	4279
228	1270	4277
229	1274	4266
230	1278	4256
231	1282	4245
232	1285	4233
233	1294	4236
234	1298	4228
235	1304	4222
236	1310	4219
237	1316	4214
238	1323	4215
239	1327	4205
240	1331	4194
241	1337	4189
242	1341	4179
243	1346	4172
244	1352	4167
245	1356	4157
246	1361	4150
247	1367	4145
248	1370	4134
249	1375	4126
250	1381	4122
251	1386	4114
252	1389	4103
253	1394	4095
254	1399	4088
255	1404	4081
256	1407	4070
257	1411	4059
258	1414	4047
259	1418	4036
260	1421	4026
261	1424	4013
262	1428	4003
263	1432	3992
264	1435	3981
265	1440	3975
266	1444	3965
267	1448	3955
268	1452	3947
269	1456	3937
270	1459	3927
271	1463	3917
272	1467	3907
273	1469	3894
274	1473	3884
275	1476	3874
276	1480	3864
277	1484	3854
278	1487	3844
279	1490	3833
280	1494	3824
281	1502	3826
282	1510	3826
283	1512	3813
284	1516	3803
285	1519	3794
286	1523	3785
287	1527	3776
288	1531	3768
289	1535	3759
290	1539	3750
291	1543	3741
292	1546	3731
293	1550	3723
294	1554	3715
295	1558	3706
296	1562	3697
297	1565	3688
298	1569	3679
299	1572	3669
300	1575	3659
301	1579	3650
302	1583	3641
303	1586	3632
304	1590	3623
305	1593	3614
306	1597	3605
307	1600	3596
308	1604	3587
309	1606	3575
310	1610	3567
311	1613	3558
312	1617	3549
313	1620	3540
314	1624	3532
315	1627	3523
316	1632	3517
317	1636	3510
318	1640	3501
319	1643	3491
320	1646	3482
321	1650	3474
322	1653	3465
323	1656	3457
324	1660	3448
325	1664	3440
326	1667	3431
327	1670	3423
328	1674	3414
329	1677	3406
330	1681	3398
331	1684	3389
332	1688	3381
333	1691	3373
334	1695	3365
335	1698	3357
336	1702	3349
337	1705	3341
338	1709	3333
339	1713	3325
340	1716	3317
341	1720	3309
342	1723	3300
343	1726	3292
344	1730	3284
345	1733	3277
346	1737	3269
347	1740	3261
348	1744	3253
349	1747	3245
350	1751	3238
351	1755	3231
352	1758	3223
353	1762	3216
354	1766	3209
355	1770	3202
356	1773	3194
357	1777	3187
358	1780	3179
359	1784	3172
360	1788	3165
361	1792	3158
362	1796	3153
363	1800	3146
364	1805	3140
365	1809	3134
366	1813	3128
367	1817	3121
368	1821	3114
369	1825	3107
370	1828	3100
371	1832	3093
372	1835	3086
373	1839	3079
374	1843	3071
375	1846	3064
376	1848	3055
377	1852	3048
378	1855	3040
379	1859	3033
380	1862	3026
381	1866	3019
382	1870	3013
383	1873	3005
384	1877	2998
385	1880	2991
386	1884	2984
387	1887	2977
388	1891	2970
389	1894	2963
390	1899	2958
391	1906	2956
392	1911	2952
393	1915	2946
394	1919	2940
395	1924	2934
396	1928	2929
397	1932	2923
398	1936	2916
399	1938	2907
400	1944	2903
401	1948	2898
402	1952	2891
403	1957	2887
404	1961	2881
405	1964	2874
406	1968	2867
407	1973	2864
408	1977	2857
409	1981	2850
410	1984	2843
411	1989	2839
412	1993	2833
413	1996	2826
414	2001	2820
415	2004	2814
416	2009	2808
417	2012	2802
418	2021	2802
419	2025	2797
420	2030	2792
421	2034	2786
422	2038	2780
423	2042	2774
424	2045	2767
425	2049	2761
426	2053	2755
427	2058	2750
428	2062	2745
429	2066	2739
430	2071	2735
431	2077	2731
432	2081	2726
433	2088	2723
434	2092	2718
435	2096	2712
436	2104	2711
437	2108	2705
438	2113	2700
439	2119	2697
440	2123	2691
441	2127	2685
442	2131	2679
443	2135	2674
444	2139	2668
445	2143	2662
446	2148	2657
447	2151	2651
448	2155	2645
449	2159	2639
450	2164	2635
451	2167	2627
452	2171	2622
453	2175	2616
454	2179	2610
455	2183	2604
456	2186	2598
457	2190	2592
458	2194	2586
459	2197	2579
460	2200	2573
461	2204	2567
462	2208	2561
463	2211	2554
464	2215	2548
465	2218	2542
466	2222	2536
467	2226	2530
468	2229	2524
469	2234	2519
470	2237	2513
471	2241	2507
472	2244	2501
473	2248	2495
474	2252	2489
475	2255	2483
476	2259	2477
477	2261	2470
478	2265	2464
479	2269	2458
480	2273	2452
481	2278	2448
482	2281	2442
483	2285	2436
484	2288	2430
485	2293	2425
486	2296	2419
487	2300	2413
488	2303	2407
489	2307	2401
490	2311	2396
491	2314	2390
492	2318	2384
493	2321	2377
494	2325	2372
495	2329	2366
496	2332	2360
497	2336	2355
498	2340	2349
499	2343	2343
500	2347	2337
501	2351	2332
502	2355	2327
503	2359	2321
504	2362	2315
505	2366	2310
506	2370	2304
507	2373	2298
508	2377	2293
509	2383	2289
510	2388	2285
511	2390	2278
512	2395	2273
513	2400	2269
514	2404	2264
515	2414	2264
516	2419	2260
517	2425	2256
518	2430	2252
519	2434	2246
520	2438	2241
521	2444	2238
522	2448	2233
523	2452	2227
524	2456	2222
525	2460	2216
526	2463	2211
527	2467	2205
528	2470	2199
529	2473	2193
530	2477	2187
531	2480	2182
532	2484	2177
533	2488	2171
534	2491	2165
535	2495	2160
536	2499	2154
537	2503	2149
538	2506	2144
539	2510	2138
540	2513	2132
541	2517	2127
542	2520	2121
543	2524	2116
544	2528	2111
545	2532	2105
546	2536	2100
547	2539	2094
548	2544	2090
549	2548	2084
550	2551	2079
551	2555	2073
552	2558	2068
553	2562	2063
554	2566	2057
555	2570	2052
556	2573	2046
557	2577	2041
558	2580	2036
559	2584	2030
560	2587	2025
561	2591	2019
562	2595	2014
563	2598	2008
564	2602	2003
565	2606	1998
566	2609	1992
567	2613	1987
568	2616	1982
569	2620	1976
570	2624	1971
571	2627	1965
572	2631	1960
573	2635	1955
574	2639	1950
575	2642	1945
576	2646	1939
577	2649	1934
578	2653	1929
579	2656	1923
580	2660	1918
581	2663	1913
582	2667	1907
583	2671	1902
584	2673	1896
585	2676	1891
586	2680	1886
587	2683	1880
588	2687	1875
589	2691	1870
590	2695	1865
591	2698	1859
592	2702	1854
593	2705	1849
594	2709	1844
595	2713	1839
596	2717	1834
597	2721	1829
598	2724	1824
599	2728	1818
600	2732	1814
601	2735	1808
602	2739	1803
603	2743	1798
604	2747	1794
605	2751	1789
